C:maj/1,2.3094,0,0,0,1.1547,0,0,1.1547,0,0,0,0,2.3094,0,0,0,2.3094,0,0,2.3094,0,0,0,0
C:maj,1.26491,0,0,0,1.26491,0,0,1.26491,0,0,0,0,2.52982,0,0,0,2.52982,0,0,2.52982,0,0,0,0
C:maj/3,1.1547,0,0,0,2.3094,0,0,1.1547,0,0,0,0,2.3094,0,0,0,2.3094,0,0,2.3094,0,0,0,0
C:maj/5,1.1547,0,0,0,1.1547,0,0,2.3094,0,0,0,0,2.3094,0,0,0,2.3094,0,0,2.3094,0,0,0,0
C:min/1,2.3094,0,0,1.1547,0,0,0,1.1547,0,0,0,0,2.3094,0,0,2.3094,0,0,0,2.3094,0,0,0,0
C:min,1.26491,0,0,1.26491,0,0,0,1.26491,0,0,0,0,2.52982,0,0,2.52982,0,0,0,2.52982,0,0,0,0
C:min/3,1.1239,0,0,1.1239,2.24781,0,0,1.1239,0,0,0,0,2.24781,0,0,2.24781,0,0,0,2.24781,0,0,0,0
C:min/5,1.1547,0,0,1.1547,0,0,0,2.3094,0,0,0,0,2.3094,0,0,2.3094,0,0,0,2.3094,0,0,0,0
C:5/1,2.71746,0,0,0,0,0,0,1.35873,0,0,0,0,2.71746,0,0,0,0,0,0,2.71746,0,0,0,0
C:7/1,2.04302,0,0,0,1.02151,0,0,1.02151,0,0,1.02151,0,2.04302,0,0,0,2.04302,0,0,2.04302,0,0,2.04302,0
C:maj7/1,2.04302,0,0,0,1.02151,0,0,1.02151,0,0,0,1.02151,2.04302,0,0,0,2.04302,0,0,2.04302,0,0,0,2.04302
C:min7/1,2.04302,0,0,1.02151,0,0,0,1.02151,0,0,1.02151,0,2.04302,0,0,2.04302,0,0,0,2.04302,0,0,2.04302,0
C:sus2/1,2.3094,0,1.1547,0,0,0,0,1.1547,0,0,0,0,2.3094,0,2.3094,0,0,0,0,2.3094,0,0,0,0
C:sus4/1,2.3094,0,0,0,0,1.1547,0,1.1547,0,0,0,0,2.3094,0,0,0,0,2.3094,0,2.3094,0,0,0,0
C:hdim7/1,2.04302,0,0,1.02151,0,0,1.02151,0,0,0,1.02151,0,2.04302,0,0,2.04302,0,0,2.04302,0,0,0,2.04302,0
C:aug/1,2.3094,0,0,0,1.1547,0,0,0,1.1547,0,0,0,2.3094,0,0,0,2.3094,0,0,0,2.3094,0,0,0
C:dim/1,2.3094,0,0,1.1547,0,0,1.1547,0,0,0,0,0,2.3094,0,0,2.3094,0,0,2.3094,0,0,0,0,0
C:dim7/1,2.04302,0,0,1.02151,0,0,1.02151,0,0,1.02151,0,0,2.04302,0,0,2.04302,0,0,2.04302,0,0,2.04302,0,0
C:maj(9)/1,2.04302,0,1.02151,0,1.02151,0,0,1.02151,0,0,0,0,2.04302,0,2.04302,0,2.04302,0,0,2.04302,0,0,0,0
C:min(9)/1,2.04302,0,1.02151,1.02151,0,0,0,1.02151,0,0,0,0,2.04302,0,2.04302,2.04302,0,0,0,2.04302,0,0,0,0
C:maj6/1,2.04302,0,0,0,1.02151,0,0,1.02151,0,1.02151,0,0,2.04302,0,0,0,2.04302,0,0,2.04302,0,2.04302,0,0
C:min7/1,2.04302,0,0,1.02151,0,0,0,1.02151,0,1.02151,0,0,2.04302,0,0,2.04302,0,0,0,2.04302,0,2.04302,0,0
C:maj9/1,1.85164,0,0.92582,0,0.92582,0,0,0.92582,0,0,0,0.92582,1.85164,0,1.85164,0,1.85164,0,0,1.85164,0,0,0,1.85164
C:min9/1,1.85164,0,0.92582,0.92582,0,0,0,0.92582,0,0,0.92582,0,1.85164,0,1.85164,1.85164,0,0,0,1.85164,0,0,1.85164,0
C:maj(11)/1,2.04302,0,0,0,1.02151,1.02151,0,1.02151,0,0,0,0,2.04302,0,0,0,2.04302,2.04302,0,2.04302,0,0,0,0
C:7(#9)/1,1.85164,0,0,0.92582,0.92582,0,0,0.92582,0,0,0.92582,0,1.85164,0,0,1.85164,1.85164,0,0,1.85164,0,0,1.85164,0
C:9/1,1.85164,0,0.92582,0,0.92582,0,0,0.92582,0,0,0.92582,0,1.85164,0,1.85164,0,1.85164,0,0,1.85164,0,0,1.85164,0
C:aug7/1,2.04302,0,0,0,1.02151,0,0,0,1.02151,0,1.02151,0,2.04302,0,0,0,2.04302,0,0,0,2.04302,0,2.04302,0
C:maj11/1,1.70561,0,0.852803,0,0.852803,0.852803,0,0.852803,0,0,0,0.852803,1.70561,0,1.70561,0,1.70561,1.70561,0,1.70561,0,0,0,1.70561
C:min11/1,1.70561,0,0.852803,0.852803,0,0.852803,0,0.852803,0,0,0.852803,0,1.70561,0,1.70561,1.70561,0,1.70561,0,1.70561,0,0,1.70561,0
C:maj13/1,1.58944,0,0.794719,0,0.794719,0.794719,0,0.794719,0,0.794719,0,0.794719,1.58944,0,1.58944,0,1.58944,1.58944,0,1.58944,0,1.58944,0,1.58944
C:min13/1,1.58944,0,0.794719,0.794719,0,0.794719,0,0.794719,0,0.794719,0.794719,0,1.58944,0,1.58944,1.58944,0,1.58944,0,1.58944,0,1.58944,1.58944,0
C#:maj/1,0,2.3094,0,0,0,1.1547,0,0,1.1547,0,0,0,0,2.3094,0,0,0,2.3094,0,0,2.3094,0,0,0
C#:maj,0,1.26491,0,0,0,1.26491,0,0,1.26491,0,0,0,0,2.52982,0,0,0,2.52982,0,0,2.52982,0,0,0
C#:maj/3,0,1.1547,0,0,0,2.3094,0,0,1.1547,0,0,0,0,2.3094,0,0,0,2.3094,0,0,2.3094,0,0,0
C#:maj/5,0,1.1547,0,0,0,1.1547,0,0,2.3094,0,0,0,0,2.3094,0,0,0,2.3094,0,0,2.3094,0,0,0
C#:min/1,0,2.3094,0,0,1.1547,0,0,0,1.1547,0,0,0,0,2.3094,0,0,2.3094,0,0,0,2.3094,0,0,0
C#:min,0,1.26491,0,0,1.26491,0,0,0,1.26491,0,0,0,0,2.52982,0,0,2.52982,0,0,0,2.52982,0,0,0
C#:min/3,0,1.1239,0,0,1.1239,2.24781,0,0,1.1239,0,0,0,0,2.24781,0,0,2.24781,0,0,0,2.24781,0,0,0
C#:min/5,0,1.1547,0,0,1.1547,0,0,0,2.3094,0,0,0,0,2.3094,0,0,2.3094,0,0,0,2.3094,0,0,0
C#:5/1,0,2.71746,0,0,0,0,0,0,1.35873,0,0,0,0,2.71746,0,0,0,0,0,0,2.71746,0,0,0
C#:7/1,0,2.3094,0,0,0,1.1547,0,0,1.1547,0,0,0,0,2.3094,0,0,0,2.3094,0,0,2.3094,0,0,0
C#:maj7/1,1.02151,2.04302,0,0,0,1.02151,0,0,1.02151,0,0,0,2.04302,2.04302,0,0,0,2.04302,0,0,2.04302,0,0,0
C#:min7/1,0,2.3094,0,0,1.1547,0,0,0,1.1547,0,0,0,0,2.3094,0,0,2.3094,0,0,0,2.3094,0,0,0
C#:sus2/1,0,2.3094,0,1.1547,0,0,0,0,1.1547,0,0,0,0,2.3094,0,2.3094,0,0,0,0,2.3094,0,0,0
C#:sus4/1,0,2.3094,0,0,0,0,1.1547,0,1.1547,0,0,0,0,2.3094,0,0,0,0,2.3094,0,2.3094,0,0,0
C#:hdim7/1,0,2.3094,0,0,1.1547,0,0,1.1547,0,0,0,0,0,2.3094,0,0,2.3094,0,0,2.3094,0,0,0,0
C#:aug/1,0,2.3094,0,0,0,1.1547,0,0,0,1.1547,0,0,0,2.3094,0,0,0,2.3094,0,0,0,2.3094,0,0
C#:dim/1,0,2.3094,0,0,1.1547,0,0,1.1547,0,0,0,0,0,2.3094,0,0,2.3094,0,0,2.3094,0,0,0,0
C#:dim7/1,0,2.08893,0,0,1.04447,0,0,1.04447,0,0,2.08893,0,0,2.08893,0,0,2.08893,0,0,2.08893,0,0,0,0
C#:maj(9)/1,0,2.04302,0,1.02151,0,1.02151,0,0,1.02151,0,0,0,0,2.04302,0,2.04302,0,2.04302,0,0,2.04302,0,0,0
